SampleID	SwabID	Pig	Location	Timepoint	Date	Day	Decomp_Stage	Submerged	Temp	Salinity	ADH	Study	Day2	ADHAVG
FP18	4-1L3	4	L3	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP19	4-1L4	4	L4	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP20	4-1L5	4	L5	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP21	5-1L1	5	L1	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP22	5-1L2	5	L2	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP23	5-1L3	5	L3	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP24	5-1L4	5	L4	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP25	5-1L5	5	L5	1	7/26/2018	1	Submerged_Fresh	NA	NA	NA	0	MSU	One	0
FP26	1-2L1	1	L1	2	7/26/2018	1	Early_Floating	NA	24.33	NA	0	MSU	One	0
FP27	1-2L2	1	L2	2	7/26/2018	1	Early_Floating	NA	24.33	NA	0	MSU	One	0
FP28	1-2L3	1	L3	2	7/26/2018	1	Early_Floating	NA	24.33	NA	0	MSU	One	0
FP29	1-2L4	1	L4	2	7/26/2018	1	Early_Floating	NA	24.33	NA	0	MSU	One	0
FP30	1-2L5	1	L5	2	7/26/2018	1	Early_Floating	NA	24.33	NA	0	MSU	One	0
FP31	2-2L1	2	L1	2	7/26/2018	1	Early_Floating	NA	28.7	NA	0	MSU	One	0
FP32	2-2L2	2	L2	2	7/26/2018	1	Early_Floating	NA	28.7	NA	0	MSU	One	0
FP33	2-2L3	2	L3	2	7/26/2018	1	Early_Floating	NA	28.7	NA	0	MSU	One	0
FP34	2-2L4	2	L4	2	7/26/2018	1	Early_Floating	NA	28.7	NA	0	MSU	One	0
FP35	2-2L5	2	L5	2	7/26/2018	1	Early_Floating	NA	28.7	NA	0	MSU	One	0
FP36	3-2L1	3	L1	2	7/26/2018	1	Early_Floating	NA	25.1	NA	0	MSU	One	0
FP37	3-2L2	3	L2	2	7/26/2018	1	Early_Floating	NA	25.1	NA	0	MSU	One	0
FP38	3-2L3	3	L3	2	7/26/2018	1	Early_Floating	NA	25.1	NA	0	MSU	One	0
FP39	3-2L4	3	L4	2	7/26/2018	1	Early_Floating	NA	25.1	NA	0	MSU	One	0
FP40	3-2L5	3	L5	2	7/26/2018	1	Early_Floating	NA	25.1	NA	0	MSU	One	0
FP41	4-2L1	4	L1	2	7/26/2018	1	Early_Floating	NA	24.6	NA	0	MSU	One	0
FP42	4-2L2	4	L2	2	7/26/2018	1	Early_Floating	NA	24.6	NA	0	MSU	One	0
FP43	4-2L3	4	L3	2	7/26/2018	1	Early_Floating	NA	24.6	NA	0	MSU	One	0
FP44	4-2L4	4	L4	2	7/26/2018	1	Early_Floating	NA	24.6	NA	0	MSU	One	0
FP45	4-2L5	4	L5	2	7/26/2018	1	Early_Floating	NA	24.6	NA	0	MSU	One	0
FP46	5-2L1	5	L1	2	7/26/2018	1	Early_Floating	NA	23.5	NA	0	MSU	One	0
FP47	5-2L2	5	L2	2	7/26/2018	1	Early_Floating	NA	23.5	NA	0	MSU	One	0
FP48	5-2L3	5	L3	2	7/26/2018	1	Early_Floating	NA	23.5	NA	0	MSU	One	0
FP49	5-2L4	5	L4	2	7/26/2018	1	Early_Floating	NA	23.5	NA	0	MSU	One	0
FP50	5-2L5	5	L5	2	7/26/2018	1	Early_Floating	NA	23.5	NA	0	MSU	One	0
FP51	2-3L1	2	L1	3	7/30/2018	5	Floating_Decay	NA	24.2	NA	2405.2	MSU	Five	2341
FP52	2-3L2	2	L2	3	7/30/2018	5	Floating_Decay	NA	24.2	NA	2405.2	MSU	Five	2341
FP53	2-3L3	2	L3	3	7/30/2018	5	Floating_Decay	NA	24.2	NA	2405.2	MSU	Five	2341
FP54	2-3L4	2	L4	3	7/30/2018	5	Floating_Decay	NA	24.2	NA	2405.2	MSU	Five	2341
FP55	2-3L5	2	L5	3	7/30/2018	5	Floating_Decay	NA	24.2	NA	2405.2	MSU	Five	2341
FP56	3-3L1	3	L1	3	7/30/2018	5	Floating_Decay	NA	23.9	NA	2349.7	MSU	Five	2341
FP57	3-3L2	3	L2	3	7/30/2018	5	Floating_Decay	NA	23.9	NA	2349.7	MSU	Five	2341
FP58	3-3L3	3	L3	3	7/30/2018	5	Floating_Decay	NA	23.9	NA	2349.7	MSU	Five	2341
FP59	3-3L4	3	L4	3	7/30/2018	5	Floating_Decay	NA	23.9	NA	2349.7	MSU	Five	2341
FP60	3-3L5	3	L5	3	7/30/2018	5	Floating_Decay	NA	23.9	NA	2349.7	MSU	Five	2341
